OMRÅDE;CIVILSTAND;TID;INDHOLD
All Denmark;Never married;2008Q1;2552700
All Denmark;Never married;2008Q2;2563134
All Denmark;Never married;2008Q3;2564705
All Denmark;Never married;2008Q4;2568255
All Denmark;Never married;2009Q1;2575185
All Denmark;Never married;2009Q2;2584993
All Denmark;Never married;2009Q3;2584560
All Denmark;Never married;2009Q4;2588198
All Denmark;Never married;2010Q1;2593172
All Denmark;Never married;2010Q2;2604129
All Denmark;Never married;2010Q3;2604479
All Denmark;Never married;2010Q4;2610799
All Denmark;Never married;2011Q1;2616048
All Denmark;Never married;2011Q2;2626084
All Denmark;Never married;2011Q3;2627295
All Denmark;Never married;2011Q4;2634540
All Denmark;Never married;2012Q1;2639530
All Denmark;Never married;2012Q2;2649701
All Denmark;Never married;2012Q3;2650422
All Denmark;Never married;2012Q4;2657677
All Denmark;Never married;2013Q1;2662659
All Denmark;Never married;2013Q2;2673091
All Denmark;Never married;2013Q3;2675409
All Denmark;Never married;2013Q4;2681019
All Denmark;Never married;2014Q1;2687098
All Denmark;Never married;2014Q2;2698124
All Denmark;Never married;2014Q3;2700182
All Denmark;Never married;2014Q4;2709113
All Denmark;Never married;2015Q1;2714540
All Denmark;Never married;2015Q2;2727425
All Denmark;Never married;2015Q3;2732381
All Denmark;Never married;2015Q4;2744254
All Denmark;Never married;2016Q1;2753160
All Denmark;Never married;2016Q2;2766337
All Denmark;Never married;2016Q3;2769775
All Denmark;Never married;2016Q4;2780475
All Denmark;Never married;2017Q1;2785800
All Denmark;Never married;2017Q2;2797744
All Denmark;Never married;2017Q3;2798842
All Denmark;Never married;2017Q4;2806141
All Denmark;Never married;2018Q1;2811181
All Denmark;Never married;2018Q2;2821044
All Denmark;Never married;2018Q3;2821394
All Denmark;Never married;2018Q4;2827695
All Denmark;Never married;2019Q1;2830166
All Denmark;Never married;2019Q2;2840546
All Denmark;Never married;2019Q3;2840316
All Denmark;Never married;2019Q4;2845453
All Denmark;Never married;2020Q1;2844060
All Denmark;Never married;2020Q2;2851131
All Denmark;Never married;2020Q3;2854659
All Denmark;Never married;2020Q4;2859116
All Denmark;Never married;2021Q1;2861497
All Denmark;Never married;2021Q2;2870485
All Denmark;Never married;2021Q3;2876672
All Denmark;Never married;2021Q4;2886458
All Denmark;Never married;2022Q1;2895240
All Denmark;Married/separated;2008Q1;2176977
All Denmark;Married/separated;2008Q2;2171174
All Denmark;Married/separated;2008Q3;2176196
All Denmark;Married/separated;2008Q4;2191033
All Denmark;Married/separated;2009Q1;2188259
All Denmark;Married/separated;2009Q2;2180280
All Denmark;Married/separated;2009Q3;2183708
All Denmark;Married/separated;2009Q4;2193779
All Denmark;Married/separated;2010Q1;2189368
All Denmark;Married/separated;2010Q2;2181819
All Denmark;Married/separated;2010Q3;2184152
All Denmark;Married/separated;2010Q4;2191517
All Denmark;Married/separated;2011Q1;2187702
All Denmark;Married/separated;2011Q2;2177947
All Denmark;Married/separated;2011Q3;2178670
All Denmark;Married/separated;2011Q4;2183712
All Denmark;Married/separated;2012Q1;2178131
All Denmark;Married/separated;2012Q2;2168562
All Denmark;Married/separated;2012Q3;2168353
All Denmark;Married/separated;2012Q4;2173196
All Denmark;Married/separated;2013Q1;2169369
All Denmark;Married/separated;2013Q2;2158728
All Denmark;Married/separated;2013Q3;2156743
All Denmark;Married/separated;2013Q4;2165925
All Denmark;Married/separated;2014Q1;2154621
All Denmark;Married/separated;2014Q2;2144763
All Denmark;Married/separated;2014Q3;2144241
All Denmark;Married/separated;2014Q4;2148451
All Denmark;Married/separated;2015Q1;2143625
All Denmark;Married/separated;2015Q2;2138481
All Denmark;Married/separated;2015Q3;2140400
All Denmark;Married/separated;2015Q4;2146756
All Denmark;Married/separated;2016Q1;2142540
All Denmark;Married/separated;2016Q2;2135923
All Denmark;Married/separated;2016Q3;2135953
All Denmark;Married/separated;2016Q4;2145540
All Denmark;Married/separated;2017Q1;2140830
All Denmark;Married/separated;2017Q2;2132454
All Denmark;Married/separated;2017Q3;2135608
All Denmark;Married/separated;2017Q4;2145883
All Denmark;Married/separated;2018Q1;2141429
All Denmark;Married/separated;2018Q2;2133673
All Denmark;Married/separated;2018Q3;2136954
All Denmark;Married/separated;2018Q4;2146813
All Denmark;Married/separated;2019Q1;2141704
All Denmark;Married/separated;2019Q2;2136452
All Denmark;Married/separated;2019Q3;2140880
All Denmark;Married/separated;2019Q4;2149938
All Denmark;Married/separated;2020Q1;2146017
All Denmark;Married/separated;2020Q2;2137608
All Denmark;Married/separated;2020Q3;2132092
All Denmark;Married/separated;2020Q4;2138124
All Denmark;Married/separated;2021Q1;2136102
All Denmark;Married/separated;2021Q2;2127486
All Denmark;Married/separated;2021Q3;2128338
All Denmark;Married/separated;2021Q4;2135786
All Denmark;Married/separated;2022Q1;2131016
All Denmark;Widowed;2008Q1;317250
All Denmark;Widowed;2008Q2;316408
All Denmark;Widowed;2008Q3;315408
All Denmark;Widowed;2008Q4;314551
All Denmark;Widowed;2009Q1;313774
All Denmark;Widowed;2009Q2;312548
All Denmark;Widowed;2009Q3;311795
All Denmark;Widowed;2009Q4;311126
All Denmark;Widowed;2010Q1;310285
All Denmark;Widowed;2010Q2;309528
All Denmark;Widowed;2010Q3;308855
All Denmark;Widowed;2010Q4;308135
All Denmark;Widowed;2011Q1;307269
All Denmark;Widowed;2011Q2;306548
All Denmark;Widowed;2011Q3;305786
All Denmark;Widowed;2011Q4;305106
All Denmark;Widowed;2012Q1;304425
All Denmark;Widowed;2012Q2;303757
All Denmark;Widowed;2012Q3;303100
All Denmark;Widowed;2012Q4;302436
All Denmark;Widowed;2013Q1;301709
All Denmark;Widowed;2013Q2;300725
All Denmark;Widowed;2013Q3;300125
All Denmark;Widowed;2013Q4;299501
All Denmark;Widowed;2014Q1;299180
All Denmark;Widowed;2014Q2;298641
All Denmark;Widowed;2014Q3;298227
All Denmark;Widowed;2014Q4;297391
All Denmark;Widowed;2015Q1;297045
All Denmark;Widowed;2015Q2;296216
All Denmark;Widowed;2015Q3;295645
All Denmark;Widowed;2015Q4;295150
All Denmark;Widowed;2016Q1;294687
All Denmark;Widowed;2016Q2;293979
All Denmark;Widowed;2016Q3;293548
All Denmark;Widowed;2016Q4;293171
All Denmark;Widowed;2017Q1;292682
All Denmark;Widowed;2017Q2;292067
All Denmark;Widowed;2017Q3;291588
All Denmark;Widowed;2017Q4;291174
All Denmark;Widowed;2018Q1;290746
All Denmark;Widowed;2018Q2;290137
All Denmark;Widowed;2018Q3;289610
All Denmark;Widowed;2018Q4;289227
All Denmark;Widowed;2019Q1;289126
All Denmark;Widowed;2019Q2;288818
All Denmark;Widowed;2019Q3;288534
All Denmark;Widowed;2019Q4;288226
All Denmark;Widowed;2020Q1;288098
All Denmark;Widowed;2020Q2;287889
All Denmark;Widowed;2020Q3;287871
All Denmark;Widowed;2020Q4;287554
All Denmark;Widowed;2021Q1;287344
All Denmark;Widowed;2021Q2;287300
All Denmark;Widowed;2021Q3;287162
All Denmark;Widowed;2021Q4;286902
All Denmark;Widowed;2022Q1;286553
All Denmark;Divorced;2008Q1;428864
All Denmark;Divorced;2008Q2;431550
All Denmark;Divorced;2008Q3;432713
All Denmark;Divorced;2008Q4;432156
All Denmark;Divorced;2009Q1;434233
All Denmark;Divorced;2009Q2;437466
All Denmark;Divorced;2009Q3;439378
All Denmark;Divorced;2009Q4;439428
All Denmark;Divorced;2010Q1;441913
All Denmark;Divorced;2010Q2;444765
All Denmark;Divorced;2010Q3;446333
All Denmark;Divorced;2010Q4;447258
All Denmark;Divorced;2011Q1;449609
All Denmark;Divorced;2011Q2;453640
All Denmark;Divorced;2011Q3;455105
All Denmark;Divorced;2011Q4;455846
All Denmark;Divorced;2012Q1;458430
All Denmark;Divorced;2012Q2;462738
All Denmark;Divorced;2012Q3;465210
All Denmark;Divorced;2012Q4;466356
All Denmark;Divorced;2013Q1;468891
All Denmark;Divorced;2013Q2;473292
All Denmark;Divorced;2013Q3;476507
All Denmark;Divorced;2013Q4;477056
All Denmark;Divorced;2014Q1;486336
All Denmark;Divorced;2014Q2;492909
All Denmark;Divorced;2014Q3;497069
All Denmark;Divorced;2014Q4;500795
All Denmark;Divorced;2015Q1;504505
All Denmark;Divorced;2015Q2;506621
All Denmark;Divorced;2015Q3;509922
All Denmark;Divorced;2015Q4;513060
All Denmark;Divorced;2016Q1;516864
All Denmark;Divorced;2016Q2;520775
All Denmark;Divorced;2016Q3;525180
All Denmark;Divorced;2016Q4;526340
All Denmark;Divorced;2017Q1;529457
All Denmark;Divorced;2017Q2;533905
All Denmark;Divorced;2017Q3;534656
All Denmark;Divorced;2017Q4;535372
All Denmark;Divorced;2018Q1;537834
All Denmark;Divorced;2018Q2;541010
All Denmark;Divorced;2018Q3;541999
All Denmark;Divorced;2018Q4;542280
All Denmark;Divorced;2019Q1;545085
All Denmark;Divorced;2019Q2;545597
All Denmark;Divorced;2019Q3;544731
All Denmark;Divorced;2019Q4;543846
All Denmark;Divorced;2020Q1;544588
All Denmark;Divorced;2020Q2;548229
All Denmark;Divorced;2020Q3;550715
All Denmark;Divorced;2020Q4;552419
All Denmark;Divorced;2021Q1;555102
All Denmark;Divorced;2021Q2;558076
All Denmark;Divorced;2021Q3;558017
All Denmark;Divorced;2021Q4;558266
All Denmark;Divorced;2022Q1;560611
Region Hovedstaden;Never married;2008Q1;810361
Region Hovedstaden;Never married;2008Q2;814923
Region Hovedstaden;Never married;2008Q3;815495
Region Hovedstaden;Never married;2008Q4;820315
Region Hovedstaden;Never married;2009Q1;822629
Region Hovedstaden;Never married;2009Q2;827698
Region Hovedstaden;Never married;2009Q3;828480
Region Hovedstaden;Never married;2009Q4;834608
Region Hovedstaden;Never married;2010Q1;836958
Region Hovedstaden;Never married;2010Q2;842955
Region Hovedstaden;Never married;2010Q3;843520
Region Hovedstaden;Never married;2010Q4;850753
Region Hovedstaden;Never married;2011Q1;852897
Region Hovedstaden;Never married;2011Q2;857506
Region Hovedstaden;Never married;2011Q3;858266
Region Hovedstaden;Never married;2011Q4;865392
Region Hovedstaden;Never married;2012Q1;867299
Region Hovedstaden;Never married;2012Q2;872595
Region Hovedstaden;Never married;2012Q3;873334
Region Hovedstaden;Never married;2012Q4;880663
Region Hovedstaden;Never married;2013Q1;883106
Region Hovedstaden;Never married;2013Q2;888390
Region Hovedstaden;Never married;2013Q3;889229
Region Hovedstaden;Never married;2013Q4;896113
Region Hovedstaden;Never married;2014Q1;898306
Region Hovedstaden;Never married;2014Q2;903750
Region Hovedstaden;Never married;2014Q3;904605
Region Hovedstaden;Never married;2014Q4;912066
Region Hovedstaden;Never married;2015Q1;913879
Region Hovedstaden;Never married;2015Q2;919875
Region Hovedstaden;Never married;2015Q3;920852
Region Hovedstaden;Never married;2015Q4;928363
Region Hovedstaden;Never married;2016Q1;931253
Region Hovedstaden;Never married;2016Q2;936364
Region Hovedstaden;Never married;2016Q3;936493
Region Hovedstaden;Never married;2016Q4;943665
Region Hovedstaden;Never married;2017Q1;945152
Region Hovedstaden;Never married;2017Q2;950686
Region Hovedstaden;Never married;2017Q3;949724
Region Hovedstaden;Never married;2017Q4;955075
Region Hovedstaden;Never married;2018Q1;956663
Region Hovedstaden;Never married;2018Q2;961048
Region Hovedstaden;Never married;2018Q3;959442
Region Hovedstaden;Never married;2018Q4;965366
Region Hovedstaden;Never married;2019Q1;965937
Region Hovedstaden;Never married;2019Q2;971197
Region Hovedstaden;Never married;2019Q3;970455
Region Hovedstaden;Never married;2019Q4;975943
Region Hovedstaden;Never married;2020Q1;973802
Region Hovedstaden;Never married;2020Q2;976457
Region Hovedstaden;Never married;2020Q3;977487
Region Hovedstaden;Never married;2020Q4;981652
Region Hovedstaden;Never married;2021Q1;982631
Region Hovedstaden;Never married;2021Q2;985647
Region Hovedstaden;Never married;2021Q3;987459
Region Hovedstaden;Never married;2021Q4;993090
Region Hovedstaden;Never married;2022Q1;995719
Region Hovedstaden;Married/separated;2008Q1;597034
Region Hovedstaden;Married/separated;2008Q2;595414
Region Hovedstaden;Married/separated;2008Q3;597048
Region Hovedstaden;Married/separated;2008Q4;602049
Region Hovedstaden;Married/separated;2009Q1;601967
Region Hovedstaden;Married/separated;2009Q2;600346
Region Hovedstaden;Married/separated;2009Q3;602083
Region Hovedstaden;Married/separated;2009Q4;606165
Region Hovedstaden;Married/separated;2010Q1;605647
Region Hovedstaden;Married/separated;2010Q2;603904
Region Hovedstaden;Married/separated;2010Q3;605601
Region Hovedstaden;Married/separated;2010Q4;609109
Region Hovedstaden;Married/separated;2011Q1;608334
Region Hovedstaden;Married/separated;2011Q2;606108
Region Hovedstaden;Married/separated;2011Q3;606982
Region Hovedstaden;Married/separated;2011Q4;609487
Region Hovedstaden;Married/separated;2012Q1;608353
Region Hovedstaden;Married/separated;2012Q2;605956
Region Hovedstaden;Married/separated;2012Q3;606640
Region Hovedstaden;Married/separated;2012Q4;609041
Region Hovedstaden;Married/separated;2013Q1;608649
Region Hovedstaden;Married/separated;2013Q2;606048
Region Hovedstaden;Married/separated;2013Q3;606221
Region Hovedstaden;Married/separated;2013Q4;610228
Region Hovedstaden;Married/separated;2014Q1;607429
Region Hovedstaden;Married/separated;2014Q2;604983
Region Hovedstaden;Married/separated;2014Q3;605156
Region Hovedstaden;Married/separated;2014Q4;607557
Region Hovedstaden;Married/separated;2015Q1;606672
Region Hovedstaden;Married/separated;2015Q2;605460
Region Hovedstaden;Married/separated;2015Q3;606212
Region Hovedstaden;Married/separated;2015Q4;609331
Region Hovedstaden;Married/separated;2016Q1;608339
Region Hovedstaden;Married/separated;2016Q2;606819
Region Hovedstaden;Married/separated;2016Q3;607577
Region Hovedstaden;Married/separated;2016Q4;611311
Region Hovedstaden;Married/separated;2017Q1;610441
Region Hovedstaden;Married/separated;2017Q2;608368
Region Hovedstaden;Married/separated;2017Q3;609943
Region Hovedstaden;Married/separated;2017Q4;614079
Region Hovedstaden;Married/separated;2018Q1;613238
Region Hovedstaden;Married/separated;2018Q2;611718
Region Hovedstaden;Married/separated;2018Q3;613468
Region Hovedstaden;Married/separated;2018Q4;617464
Region Hovedstaden;Married/separated;2019Q1;616347
Region Hovedstaden;Married/separated;2019Q2;615322
Region Hovedstaden;Married/separated;2019Q3;617193
Region Hovedstaden;Married/separated;2019Q4;620854
Region Hovedstaden;Married/separated;2020Q1;620156
Region Hovedstaden;Married/separated;2020Q2;617833
Region Hovedstaden;Married/separated;2020Q3;616603
Region Hovedstaden;Married/separated;2020Q4;619225
Region Hovedstaden;Married/separated;2021Q1;618531
Region Hovedstaden;Married/separated;2021Q2;615949
Region Hovedstaden;Married/separated;2021Q3;616112
Region Hovedstaden;Married/separated;2021Q4;618875
Region Hovedstaden;Married/separated;2022Q1;617800
Region Hovedstaden;Widowed;2008Q1;88644
Region Hovedstaden;Widowed;2008Q2;88325
Region Hovedstaden;Widowed;2008Q3;87947
Region Hovedstaden;Widowed;2008Q4;87638
Region Hovedstaden;Widowed;2009Q1;87291
Region Hovedstaden;Widowed;2009Q2;86797
Region Hovedstaden;Widowed;2009Q3;86491
Region Hovedstaden;Widowed;2009Q4;86210
Region Hovedstaden;Widowed;2010Q1;85838
Region Hovedstaden;Widowed;2010Q2;85509
Region Hovedstaden;Widowed;2010Q3;85216
Region Hovedstaden;Widowed;2010Q4;84846
Region Hovedstaden;Widowed;2011Q1;84634
Region Hovedstaden;Widowed;2011Q2;84306
Region Hovedstaden;Widowed;2011Q3;83983
Region Hovedstaden;Widowed;2011Q4;83678
Region Hovedstaden;Widowed;2012Q1;83361
Region Hovedstaden;Widowed;2012Q2;83128
Region Hovedstaden;Widowed;2012Q3;82852
Region Hovedstaden;Widowed;2012Q4;82603
Region Hovedstaden;Widowed;2013Q1;82207
Region Hovedstaden;Widowed;2013Q2;81751
Region Hovedstaden;Widowed;2013Q3;81520
Region Hovedstaden;Widowed;2013Q4;81334
Region Hovedstaden;Widowed;2014Q1;81110
Region Hovedstaden;Widowed;2014Q2;80847
Region Hovedstaden;Widowed;2014Q3;80670
Region Hovedstaden;Widowed;2014Q4;80388
Region Hovedstaden;Widowed;2015Q1;80212
Region Hovedstaden;Widowed;2015Q2;79838
Region Hovedstaden;Widowed;2015Q3;79623
Region Hovedstaden;Widowed;2015Q4;79357
Region Hovedstaden;Widowed;2016Q1;79218
Region Hovedstaden;Widowed;2016Q2;78949
Region Hovedstaden;Widowed;2016Q3;78691
Region Hovedstaden;Widowed;2016Q4;78517
Region Hovedstaden;Widowed;2017Q1;78338
Region Hovedstaden;Widowed;2017Q2;78052
Region Hovedstaden;Widowed;2017Q3;77843
Region Hovedstaden;Widowed;2017Q4;77744
Region Hovedstaden;Widowed;2018Q1;77591
Region Hovedstaden;Widowed;2018Q2;77370
Region Hovedstaden;Widowed;2018Q3;77177
Region Hovedstaden;Widowed;2018Q4;76999
Region Hovedstaden;Widowed;2019Q1;76906
Region Hovedstaden;Widowed;2019Q2;76787
Region Hovedstaden;Widowed;2019Q3;76681
Region Hovedstaden;Widowed;2019Q4;76582
Region Hovedstaden;Widowed;2020Q1;76474
Region Hovedstaden;Widowed;2020Q2;76396
Region Hovedstaden;Widowed;2020Q3;76327
Region Hovedstaden;Widowed;2020Q4;76188
Region Hovedstaden;Widowed;2021Q1;76107
Region Hovedstaden;Widowed;2021Q2;76006
Region Hovedstaden;Widowed;2021Q3;75976
Region Hovedstaden;Widowed;2021Q4;75858
Region Hovedstaden;Widowed;2022Q1;75740
Region Hovedstaden;Divorced;2008Q1;149786
Region Hovedstaden;Divorced;2008Q2;150328
Region Hovedstaden;Divorced;2008Q3;150495
Region Hovedstaden;Divorced;2008Q4;150040
Region Hovedstaden;Divorced;2009Q1;150398
Region Hovedstaden;Divorced;2009Q2;151038
Region Hovedstaden;Divorced;2009Q3;151510
Region Hovedstaden;Divorced;2009Q4;151237
Region Hovedstaden;Divorced;2010Q1;151828
Region Hovedstaden;Divorced;2010Q2;152617
Region Hovedstaden;Divorced;2010Q3;152734
Region Hovedstaden;Divorced;2010Q4;152782
Region Hovedstaden;Divorced;2011Q1;153522
Region Hovedstaden;Divorced;2011Q2;154468
Region Hovedstaden;Divorced;2011Q3;154812
Region Hovedstaden;Divorced;2011Q4;155067
Region Hovedstaden;Divorced;2012Q1;155576
Region Hovedstaden;Divorced;2012Q2;156739
Region Hovedstaden;Divorced;2012Q3;157326
Region Hovedstaden;Divorced;2012Q4;157645
Region Hovedstaden;Divorced;2013Q1;158106
Region Hovedstaden;Divorced;2013Q2;159332
Region Hovedstaden;Divorced;2013Q3;159919
Region Hovedstaden;Divorced;2013Q4;159921
Region Hovedstaden;Divorced;2014Q1;162560
Region Hovedstaden;Divorced;2014Q2;164396
Region Hovedstaden;Divorced;2014Q3;165637
Region Hovedstaden;Divorced;2014Q4;166666
Region Hovedstaden;Divorced;2015Q1;167362
Region Hovedstaden;Divorced;2015Q2;167739
Region Hovedstaden;Divorced;2015Q3;168792
Region Hovedstaden;Divorced;2015Q4;169418
Region Hovedstaden;Divorced;2016Q1;170364
Region Hovedstaden;Divorced;2016Q2;171357
Region Hovedstaden;Divorced;2016Q3;172450
Region Hovedstaden;Divorced;2016Q4;172756
Region Hovedstaden;Divorced;2017Q1;173473
Region Hovedstaden;Divorced;2017Q2;174703
Region Hovedstaden;Divorced;2017Q3;174658
Region Hovedstaden;Divorced;2017Q4;174679
Region Hovedstaden;Divorced;2018Q1;175167
Region Hovedstaden;Divorced;2018Q2;175874
Region Hovedstaden;Divorced;2018Q3;175865
Region Hovedstaden;Divorced;2018Q4;175708
Region Hovedstaden;Divorced;2019Q1;176372
Region Hovedstaden;Divorced;2019Q2;176352
Region Hovedstaden;Divorced;2019Q3;176028
Region Hovedstaden;Divorced;2019Q4;175610
Region Hovedstaden;Divorced;2020Q1;175591
Region Hovedstaden;Divorced;2020Q2;176461
Region Hovedstaden;Divorced;2020Q3;176872
Region Hovedstaden;Divorced;2020Q4;177231
Region Hovedstaden;Divorced;2021Q1;177815
Region Hovedstaden;Divorced;2021Q2;178459
Region Hovedstaden;Divorced;2021Q3;178236
Region Hovedstaden;Divorced;2021Q4;178265
Region Hovedstaden;Divorced;2022Q1;178689
Copenhagen;Never married;2008Q1;309661
Copenhagen;Never married;2008Q2;311978
Copenhagen;Never married;2008Q3;311868
Copenhagen;Never married;2008Q4;315545
Copenhagen;Never married;2009Q1;317126
Copenhagen;Never married;2009Q2;319778
Copenhagen;Never married;2009Q3;319926
Copenhagen;Never married;2009Q4;324313
Copenhagen;Never married;2010Q1;325562
Copenhagen;Never married;2010Q2;328670
Copenhagen;Never married;2010Q3;328517
Copenhagen;Never married;2010Q4;333929
Copenhagen;Never married;2011Q1;335339
Copenhagen;Never married;2011Q2;337717
Copenhagen;Never married;2011Q3;337628
Copenhagen;Never married;2011Q4;343028
Copenhagen;Never married;2012Q1;343978
Copenhagen;Never married;2012Q2;346995
Copenhagen;Never married;2012Q3;346821
Copenhagen;Never married;2012Q4;352000
Copenhagen;Never married;2013Q1;353507
Copenhagen;Never married;2013Q2;356849
Copenhagen;Never married;2013Q3;356692
Copenhagen;Never married;2013Q4;361813
Copenhagen;Never married;2014Q1;362566
Copenhagen;Never married;2014Q2;365720
Copenhagen;Never married;2014Q3;365274
Copenhagen;Never married;2014Q4;370940
Copenhagen;Never married;2015Q1;371642
Copenhagen;Never married;2015Q2;375047
Copenhagen;Never married;2015Q3;374655
Copenhagen;Never married;2015Q4;379545
Copenhagen;Never married;2016Q1;381364
Copenhagen;Never married;2016Q2;384161
Copenhagen;Never married;2016Q3;383598
Copenhagen;Never married;2016Q4;388897
Copenhagen;Never married;2017Q1;389741
Copenhagen;Never married;2017Q2;393512
Copenhagen;Never married;2017Q3;392034
Copenhagen;Never married;2017Q4;396546
Copenhagen;Never married;2018Q1;398105
Copenhagen;Never married;2018Q2;400873
Copenhagen;Never married;2018Q3;400102
Copenhagen;Never married;2018Q4;404978
Copenhagen;Never married;2019Q1;405616
Copenhagen;Never married;2019Q2;408833
Copenhagen;Never married;2019Q3;408190
Copenhagen;Never married;2019Q4;413168
Copenhagen;Never married;2020Q1;412512
Copenhagen;Never married;2020Q2;414072
Copenhagen;Never married;2020Q3;414218
Copenhagen;Never married;2020Q4;417782
Copenhagen;Never married;2021Q1;418133
Copenhagen;Never married;2021Q2;419742
Copenhagen;Never married;2021Q3;419966
Copenhagen;Never married;2021Q4;423793
Copenhagen;Never married;2022Q1;424752
Copenhagen;Married/separated;2008Q1;128556
Copenhagen;Married/separated;2008Q2;128289
Copenhagen;Married/separated;2008Q3;128728
Copenhagen;Married/separated;2008Q4;130727
Copenhagen;Married/separated;2009Q1;130995
Copenhagen;Married/separated;2009Q2;130736
Copenhagen;Married/separated;2009Q3;131489
Copenhagen;Married/separated;2009Q4;133014
Copenhagen;Married/separated;2010Q1;133196
Copenhagen;Married/separated;2010Q2;132864
Copenhagen;Married/separated;2010Q3;133650
Copenhagen;Married/separated;2010Q4;135341
Copenhagen;Married/separated;2011Q1;135422
Copenhagen;Married/separated;2011Q2;135002
Copenhagen;Married/separated;2011Q3;135713
Copenhagen;Married/separated;2011Q4;136965
Copenhagen;Married/separated;2012Q1;136827
Copenhagen;Married/separated;2012Q2;136238
Copenhagen;Married/separated;2012Q3;136858
Copenhagen;Married/separated;2012Q4;137880
Copenhagen;Married/separated;2013Q1;138132
Copenhagen;Married/separated;2013Q2;137542
Copenhagen;Married/separated;2013Q3;137917
Copenhagen;Married/separated;2013Q4;139664
Copenhagen;Married/separated;2014Q1;138830
Copenhagen;Married/separated;2014Q2;138186
Copenhagen;Married/separated;2014Q3;138329
Copenhagen;Married/separated;2014Q4;139729
Copenhagen;Married/separated;2015Q1;139613
Copenhagen;Married/separated;2015Q2;139465
Copenhagen;Married/separated;2015Q3;139893
Copenhagen;Married/separated;2015Q4;141141
Copenhagen;Married/separated;2016Q1;140881
Copenhagen;Married/separated;2016Q2;140688
Copenhagen;Married/separated;2016Q3;141427
Copenhagen;Married/separated;2016Q4;143024
Copenhagen;Married/separated;2017Q1;143176
Copenhagen;Married/separated;2017Q2;142783
Copenhagen;Married/separated;2017Q3;143640
Copenhagen;Married/separated;2017Q4;145607
Copenhagen;Married/separated;2018Q1;145479
Copenhagen;Married/separated;2018Q2;145301
Copenhagen;Married/separated;2018Q3;146287
Copenhagen;Married/separated;2018Q4;148172
Copenhagen;Married/separated;2019Q1;147974
Copenhagen;Married/separated;2019Q2;147848
Copenhagen;Married/separated;2019Q3;148834
Copenhagen;Married/separated;2019Q4;150492
Copenhagen;Married/separated;2020Q1;150458
Copenhagen;Married/separated;2020Q2;149826
Copenhagen;Married/separated;2020Q3;149291
Copenhagen;Married/separated;2020Q4;150663
Copenhagen;Married/separated;2021Q1;150279
Copenhagen;Married/separated;2021Q2;149179
Copenhagen;Married/separated;2021Q3;149174
Copenhagen;Married/separated;2021Q4;150219
Copenhagen;Married/separated;2022Q1;149940
Copenhagen;Widowed;2008Q1;21555
Copenhagen;Widowed;2008Q2;21298
Copenhagen;Widowed;2008Q3;21066
Copenhagen;Widowed;2008Q4;20854
Copenhagen;Widowed;2009Q1;20600
Copenhagen;Widowed;2009Q2;20371
Copenhagen;Widowed;2009Q3;20134
Copenhagen;Widowed;2009Q4;19958
Copenhagen;Widowed;2010Q1;19761
Copenhagen;Widowed;2010Q2;19531
Copenhagen;Widowed;2010Q3;19307
Copenhagen;Widowed;2010Q4;19099
Copenhagen;Widowed;2011Q1;18963
Copenhagen;Widowed;2011Q2;18752
Copenhagen;Widowed;2011Q3;18584
Copenhagen;Widowed;2011Q4;18388
Copenhagen;Widowed;2012Q1;18201
Copenhagen;Widowed;2012Q2;18034
Copenhagen;Widowed;2012Q3;17899
Copenhagen;Widowed;2012Q4;17770
Copenhagen;Widowed;2013Q1;17524
Copenhagen;Widowed;2013Q2;17295
Copenhagen;Widowed;2013Q3;17154
Copenhagen;Widowed;2013Q4;17012
Copenhagen;Widowed;2014Q1;16918
Copenhagen;Widowed;2014Q2;16810
Copenhagen;Widowed;2014Q3;16725
Copenhagen;Widowed;2014Q4;16584
Copenhagen;Widowed;2015Q1;16492
Copenhagen;Widowed;2015Q2;16299
Copenhagen;Widowed;2015Q3;16182
Copenhagen;Widowed;2015Q4;16094
Copenhagen;Widowed;2016Q1;16037
Copenhagen;Widowed;2016Q2;15936
Copenhagen;Widowed;2016Q3;15787
Copenhagen;Widowed;2016Q4;15720
Copenhagen;Widowed;2017Q1;15607
Copenhagen;Widowed;2017Q2;15490
Copenhagen;Widowed;2017Q3;15417
Copenhagen;Widowed;2017Q4;15333
Copenhagen;Widowed;2018Q1;15238
Copenhagen;Widowed;2018Q2;15137
Copenhagen;Widowed;2018Q3;15012
Copenhagen;Widowed;2018Q4;14925
Copenhagen;Widowed;2019Q1;14868
Copenhagen;Widowed;2019Q2;14787
Copenhagen;Widowed;2019Q3;14713
Copenhagen;Widowed;2019Q4;14679
Copenhagen;Widowed;2020Q1;14630
Copenhagen;Widowed;2020Q2;14558
Copenhagen;Widowed;2020Q3;14502
Copenhagen;Widowed;2020Q4;14428
Copenhagen;Widowed;2021Q1;14426
Copenhagen;Widowed;2021Q2;14363
Copenhagen;Widowed;2021Q3;14351
Copenhagen;Widowed;2021Q4;14296
Copenhagen;Widowed;2022Q1;14324
Copenhagen;Divorced;2008Q1;50089
Copenhagen;Divorced;2008Q2;50160
Copenhagen;Divorced;2008Q3;50024
Copenhagen;Divorced;2008Q4;49836
Copenhagen;Divorced;2009Q1;49853
Copenhagen;Divorced;2009Q2;49774
Copenhagen;Divorced;2009Q3;49848
Copenhagen;Divorced;2009Q4;49633
Copenhagen;Divorced;2010Q1;49689
Copenhagen;Divorced;2010Q2;49837
Copenhagen;Divorced;2010Q3;49725
